"player","pos","team","games","pass_att","pass_comp","pass_yds","pass_yds_g","pass_tds","pass_int","pass_rate","rush_att","rush_yds","rush_avg","rush_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","source","position_asked","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fg","fg_att","fg_0019","fg_att_0019","fg_2029","fg_att_2029","fg_3039","fg_att_3039","fg_4049","fg_att_4049","fg_50","fg_att_50","xp","xp_att","dst_int","dst_safety","dst_sacks","dst_tackles","dst_fum_rec","dst_fum_force","dst_td","dst_pts_allowed","dst_pts_allowed_g","dst_pass_yds_allowed","dst_rush_yds_allowed","dst_yds_allowed","dst_avg_yds_allowed","dst_fumbles","fg_50_att","fg_4049_att","fg_0039","fg_att_39","BYE","bye","fg_pct","dst_pass_yds_g","dst_rush_yds_g","dst_ret_tds","pos_rank","overall_rank","team_id","team_name","proj_type","fumblesRecovered"
"Drake Maye","QB","NE",15,412,283,3336,222.4,23,12,99.5,86,452,5.3,3,4,286,19.1,"26695757","CBS","16580","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Jones","QB","IND",15,471,300,3422,228.1,27,10,95.7,40,139,3.5,2,2,286,19.1,"2179245","CBS","14059","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Stafford","QB","LAR",15,464,297,3521,234.7,28,7,100.9,26,33,1.3,0,2,283,18.9,"1114942","CBS","9431","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryce Young","QB","CAR",15,467,302,3191,212.7,26,12,92.3,43,193,4.5,3,1,277,18.5,"3161957","CBS","16148","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baker Mayfield","QB","TB",15,476,308,3285,219,24,12,91.1,54,339,6.3,3,5,275,18.3,"2080032","CBS","13590","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.J. Stroud","QB","HOU",15,522,325,3670,244.7,24,10,90.6,44,228,5.2,1,5,272,18.1,"3163079","CBS","16150","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Darnold","QB","SEA",15,421,287,3496,233.1,27,10,105,42,119,2.8,0,5,268,17.9,"2180320","CBS","13592","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyler Murray","QB","MIN",15,409,260,2905,193.7,25,17,87.7,60,392,6.5,3,3,265,17.7,"2180829","CBS","14056","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bo Nix","QB","DEN",15,491,313,3080,205.3,23,10,88.5,60,232,3.9,3,2,263,17.5,"3121193","CBS","16582","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deshaun Watson","QB","CLE",15,462,296,3157,210.5,20,14,85.8,87,447,5.1,3,3,258,17.2,"2133482","CBS","13113","CBS","QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
